#,PRODUCTO,SERIAL,ACTIVO,INSERTOS Y ANILLO RETENEDOR,,,,,
74,45,PCT-23-4602-45-004,PCT-45-026,SI,,,,,
75,45,PCT-23-4602-45-005,PCT-45-027,SI,,,,,
76,45,PCT-23-4602-45-006,PCT-45-028,SI,,,,,
77,45,PCT-23-4602-45-007,PCT-45-029,SI,,,,,
78,45,PCT-23-4602-45-008,PCT-45-030,SI,,,,,
79,45,PCT-23-4602-45-009,PCT-45-031,SI,,,,,
80,45,PCT-23-4602-45-010,PCT-45-032,SI,,,,,
81,45,PCT-23-4602-45-011,PCT-45-033,SI,,,,,
82,45,PCT-23-4602-45-012,PCT-45-034,SI,,,,,
83,45,PCT-23-4602-45-013,PCT-45-035,SI,,,,,
84,45,PCT-23-4602-45-014,PCT-45-036,SI,,,,,
85,45,PCT-23-4602-45-015,PCT-45-037,SI,,,,,
86,45,PCT-23-4602-45-016,PCT-45-038,SI,,,,,
87,45,PCT-23-4602-45-017,PCT-45-039,SI,,,,,
88,45,PCT-23-4602-45-018,PCT-45-040,SI,,,,,
89,45,PCT-23-4602-45-019,PCT-45-041,SI,,,,,
90,45,PCT-23-4602-45-020,PCT-45-042,SI,,,,,
91,TAPON,PCT-23-4602-P-001,PCT-PLG-005,NO,,,,,
92,TAPON,PCT-23-4602-P-002,PCT-PLG-006,NO,,,,,
93,TAPA,PCT-23-4602-C-001,PCT-CAP-005,NO,,,,,
94,TAPA,PCT-23-4602-C-002,PCT-CAP-006,NO,,,,,
95,90,25322-255,PCT-90-263,SI,,,,,
96,90,25322-256,PCT-90-264,SI,,,,,
97,90,25322-257,PCT-90-265,SI,,,,,
98,90,25322-258,PCT-90-266,SI,,,,,
99,90,25322-259,PCT-90-267,SI,,,,,
100,90,25322-260,PCT-90-268,SI,,,,,
101,90,25322-261,PCT-90-269,SI,,,,,
102,90,25322-262,PCT-90-270,SI,,,,,
103,90,25322-263,PCT-90-271,SI,,,,,
104,90,25322-264,PCT-90-272,SI,,,,,
105,90,25322-265,PCT-90-273,SI,,,,,
106,90,25322-266,PCT-90-274,SI,,,,,
107,90,25322-267,PCT-90-275,SI,,,,,
108,90,25322-268,PCT-90-276,SI,,,,,
109,90,25322-269,PCT-90-277,SI,,,,,
110,TEE 1 (HXMXM),25322-270,PCT-TEE-028,SI,,,,,
111,TEE 1 (HXMXM),25322-271,PCT-TEE-029,SI,,,,,
112,TEE 1 (HXMXM),25322-272,PCT-TEE-030,SI,,,,,
113,TEE 1 (HXMXM),25322-273,PCT-TEE-031,SI,,,,,
114,TEE 1 (HXMXM),25322-274,PCT-TEE-032,SI,,,,,
115,TEE 1 (HXMXM),25322-275,PCT-TEE-033,SI,,,,,
116,TEE 2 (HXMXH O MXHXH),25322-276,PCT-TEE-034,SI,,,,,
117,TEE 2 (HXMXH O MXHXH),25322-277,PCT-TEE-035,SI,,,,,
118,TEE 2 (HXMXH O MXHXH),25322-278,PCT-TEE-036,SI,,,,,
119,TEE 2 (HXMXH O MXHXH),25322-279,PCT-TEE-037,SI,,,,,
