,,,,,,,
#,Tipo,No. Activo,No. Serial,No. De Reporte de PH,FECHA,Observaciones,
65,Tubo,PCT-PUP-0474,EBS-4206-DJ-SS-3-4,PCT-NDT-1-26-0121,4/8/26,,
66,Tubo,PCT-PUP-0482,EBS-4206-DJ-SS-2-4,PCT-NDT-1-26-0121,4/8/26,,
67,Tubo,PCT-PUP-0477,EBS-4206-DJ-SS-3-7,PCT-NDT-1-26-0121,4/8/26,,
68,Tubo,PCT-PUP-0471,EBS-4206-DJ-SS-3-1,PCT-NDT-1-26-0121,4/8/26,,
69,Tubo,PCT-PUP-0486,EBS-4206-DJ-SS-2-8,PCT-NDT-1-26-0121,4/8/26,,
70,Tubo,PCT-PUP-0473,EBS-4206-DJ-SS-3-3,PCT-NDT-1-26-0121,4/8/26,,
71,Tubo,PCT-PUP-0483,EBS-4206-DJ-SS-2-5,PCT-NDT-1-26-0121,4/8/26,,
72,Tubo,PCT-PUP-0475,EBS-4206-DJ-SS-3-5,PCT-NDT-1-26-0121,4/8/26,,
73,Tubo,PCT-PUP-0480,EBS-4206-DJ-SS-2-2,PCT-NDT-1-26-0121,4/8/26,,
74,Tubo,PCT-PUP-0478,EBS-4206-DJ-SS-3-8,PCT-NDT-1-26-0121,4/8/26,,
75,Tubo,PCT-PUP-0484,EBS-4206-DJ-SS-2-6,PCT-NDT-1-26-0121,4/8/26,,
76,Tubo,PCT-PUP-0485,EBS-4206-DJ-SS-2-7,PCT-NDT-1-26-0121,4/8/26,,
77,Tubo,PCT-PUP-0472,EBS-4206-DJ-SS-3-2,PCT-NDT-1-26-0121,4/8/26,,
78,Tubo,PCT-PUP-0476,EBS-4206-DJ-SS-3-6,PCT-NDT-1-26-0121,4/8/26,,
79,90,PCT-90-199,EBS-4206-LRE-SS-90-37,PCT-NDT-1-26-0117,4/7/26,,
80,90,PCT-90-166,EBS-4206-LRE-SS-90-4,PCT-NDT-1-26-0117,4/7/26,,
81,90,PCT-90-180,EBS-4206-LRE-SS-90-18,PCT-NDT-1-26-0117,4/7/26,,
82,90,PCT-90-164,EBS-4206-LRE-SS-90-2,PCT-NDT-1-26-0117,4/7/26,,
83,90,PCT-90-185,EBS-4206-LRE-SS-90-23,PCT-NDT-1-26-0101,4/1/26,,
84,90,PCT-90-177,EBS-4206-LRE-SS-90-15,PCT-NDT-1-26-0117,4/7/26,,
85,90,PCT-90-196,EBS-4206-LRE-SS-90-34,PCT-NDT-1-26-0101,4/1/26,,
86,90,PCT-90-201,EBS-4206-LRE-SS-90-39,PCT-NDT-1-26-0117,4/7/26,,
87,90,PCT-90-163,EBS-4206-LRE-SS-90-1,PCT-NDT-1-26-0117,4/7/26,,
88,90,PCT-90-202,EBS-4206-LRE-SS-90-40,PCT-NDT-1-26-0101,4/1/26,,
89,90,PCT-90-168,EBS-4206-LRE-SS-90-6,PCT-NDT-1-26-0117,4/7/26,,
90,90,PCT-90-173,EBS-4206-LRE-SS-90-11,PCT-NDT-1-26-0117,4/7/26,,
91,90,PCT-90-174,EBS-4206-LRE-SS-90-12,PCT-NDT-1-26-0117,4/7/26,,
92,90,PCT-90-167,EBS-4206-LRE-SS-90-5,PCT-NDT-1-26-0117,4/7/26,,
93,90,PCT-90-165,EBS-4206-LRE-SS-90-3,PCT-NDT-1-26-0117,4/7/26,,
94,90,PCT-90-179,EBS-4206-LRE-SS-90-17,PCT-NDT-1-26-0101,4/1/26,,
95,90,PCT-90-198,EBS-4206-LRE-SS-90-36,PCT-NDT-1-26-0117,4/7/26,,
96,90,PCT-90-171,EBS-4206-LRE-SS-90-9,PCT-NDT-1-26-0117,4/7/26,,
97,90,PCT-90-172,EBS-4206-LRE-SS-90-10,PCT-NDT-1-26-0117,4/7/26,,
98,90,PCT-90-176,EBS-4206-LRE-SS-90-14,PCT-NDT-1-26-0117,4/7/26,,
99,90,PCT-90-190,EBS-4206-LRE-SS-90-28,PCT-NDT-1-26-0117,4/7/26,,
100,Tapa,PCT-CAP-06,PCT-23-4602-C-002,PCT-NDT-1-26-0086,3/23/26,,
101,90,PCT-90-170,EBS-4206-LRE-SS-90-8,PCT-NDT-1-26-0117,4/7/26,,
102,90,PCT-90-169,EBS-4206-LRE-SS-90-7,PCT-NDT-1-26-0117,4/7/26,,
103,90,PCT-90-178,EBS-4206-LRE-SS-90-16,PCT-NDT-1-26-0117,4/7/26,,
104,90,PCT-90-200,EBS-4206-LRE-SS-90-38,PCT-NDT-1-26-0117,4/7/26,,
105,90,PCT-90-186,EBS-4206-LRE-SS-90-24,PCT-NDT-1-26-0117,4/7/26,,
106,90,PCT-90-189,EBS-4206-LRE-SS-90-27,PCT-NDT-1-26-0117,4/7/26,,
107,90,PCT-90-175,EBS-4206-LRE-SS-90-13,PCT-NDT-1-26-0117,4/7/26,,
108,90,PCT-90-187,EBS-4206-LRE-SS-90-25,PCT-NDT-1-26-0117,4/7/26,,
109,90,PCT-90-184,EBS-4206-LRE-SS-90-22,PCT-NDT-1-26-0117,4/7/26,,
110,90,PCT-90-197,EBS-4206-LRE-SS-90-35,PCT-NDT-1-26-0117,4/7/26,,
111,Xover,PCT-XO-011,PCT-23-XO-4-206/602-002,PCT-NDT-1-26-0091,3/26/26,,
112,90,PCT-90-182,EBS-4206-LRE-SS-90-20,PCT-NDT-1-26-0117,4/7/26,,
113,90,PCT-90-181,EBS-4206-LRE-SS-90-19,PCT-NDT-1-26-0117,4/7/26,,
114,90,PCT-90-195,EBS-4206-LRE-SS-90-33,PCT-NDT-1-26-0117,4/7/26,,
115,90,PCT-90-193,EBS-4206-LRE-SS-90-31,PCT-NDT-1-26-0117,4/7/26,,
116,Tubo,PCT-PUP-0032,PCT-24-4206-10-002,PCT-NDT-1-26-0115,4/7/26,,
117,Tubo,PCT-PUP-0006,PCT-23-4206-10-006,PCT-NDT-1-26-0125,4/8/26,,
118,Tubo,PCT-PUP-0028,PCT-23-4206-10-028,PCT-NDT-1-26-0123,4/8/26,,
119,Tubo,PCT-PUP-0014,PCT-23-4206-10-014,PCT-NDT-1-26-0115,4/7/26,,
120,Tubo,PCT-PUP-0008,PCT-23-4206-10-008,PCT-NDT-1-26-0119,4/7/26,,
121,Tubo,PCT-PUP-0012,PCT-23-4206-10-012,PCT-NDT-1-26-0123,4/8/26,,
122,E.C.,PCT-CE-06,PCT-CE-06,PCT-NDT-1-26-0127,4/9/26,,
123,Tubo,PCT-PUP-0009,PCT-23-4206-10-009,PCT-NDT-1-26-0125,4/8/26,,
124,Tubo,PCT-PUP-0033,PCT-24-4206-10-003,PCT-NDT-1-26-0119,4/7/26,,
125,Tubo,PCT-PUP-0018,PCT-23-4206-10-018,PCT-NDT-1-26-0123,4/8/26,,
126,Tubo,PCT-PUP-0025,PCT-23-4206-10-025,PCT-NDT-1-26-0121,4/8/26,,
127,Tubo,PCT-PUP-0013,PCT-23-4206-10-013,PCT-NDT-1-26-0119,4/7/26,,
128,Tubo,PCT-PUP-0023,PCT-23-4206-10-023,PCT-NDT-1-26-0123,4/8/26,,
129,Tubo,PCT-PUP-0030,PCT-23-4206-10-030,PCT-NDT-1-26-0121,4/8/26,,
130,Tubo,PCT-PUP-0027,PCT-23-4206-10-027,PCT-NDT-1-26-0119,4/7/26,,
131,Tubo,PCT-PUP-0015,PCT-23-4206-10-015,PCT-NDT-1-26-0125,4/8/26,,
132,Tubo,PCT-PUP-0007,PCT-23-4206-10-007,PCT-NDT-1-26-0123,4/8/26,,
133,Tubo,PCT-PUP-0016,PCT-23-4206-10-016,PCT-NDT-1-26-0123,4/8/26,,
134,Tubo,PCT-PUP-0166,PCT-23-4602-10-010,PCT-NDT-1-26-0086,3/23/26,,
135,Tubo,PCT-PUP-0160,PCT-23-4602-10-004,PCT-NDT-1-26-0086,3/23/26,,
136,Tubo,PCT-PUP-0493,EBS-4206-DJ-SS-1-8,PCT-NDT-1-26-0123,4/8/26,,
137,Tubo,PCT-PUP-0162,PCT-23-4602-10-006,PCT-NDT-1-26-0086,3/23/26,,
138,Tubo,PCT-PUP-0161,PCT-23-4602-10-005,PCT-NDT-1-26-0086,3/23/26,,
139,Tubo,PCT-PUP-0165,PCT-23-4602-10-009,PCT-NDT-1-26-0086,3/23/26,,
140,Xover,PCT-XO-010,PCT-23-XO-4-206/602-001,PCT-NDT-1-26-0091,3/26/26,,
141,Tubo,PCT-PUP-0163,PCT-23-4602-10-007,PCT-NDT-1-26-0086,3/23/26,,
142,Tapón,PCT-PLG-06,PCT-23-4602-P-002,PCT-NDT-1-26-0086,3/23/26,,
143,Tubo,PCT-PUP-0159,PCT-23-4602-10-003,PCT-NDT-1-26-0086,3/23/26,,
144,Tubo,PCT-PUP-0157,PCT-23-4602-10-001,PCT-NDT-1-26-0086,3/23/26,,
145,Tubo,PCT-PUP-0158,PCT-23-4602-10-002,PCT-NDT-1-26-0086,3/23/26,,
146,Tubo,PCT-PUP-0164,PCT-23-4602-10-008,PCT-NDT-1-26-0086,3/23/26,,
147,90,PCT-90-033,PCT-23-4602-90-001,PCT-NDT-1-26-0089,3/25/26,,
148,90,PCT-90-041,PCT-23-4602-90-009,PCT-NDT-1-26-0089,3/25/26,,
149,90,PCT-90-035,PCT-23-4602-90-003,PCT-NDT-1-26-0089,3/25/26,,
150,90,PCT-90-037,PCT-23-4602-90-005,PCT-NDT-1-26-0089,3/25/26,,
151,90,PCT-90-038,PCT-23-4602-90-006,PCT-NDT-1-26-0089,3/25/26,,
