#,ESTADO,EQUIPO / ACTIVO,PRODUCTO,DESCRIPCION,PRUEBA / CALIBRACION,TIPO EQUIPO,ÁREA A INSPECIONAR
21,ACTIVO,PCT-BP-08,BRIDA DE PRUEBA,BRIDA DE PRUEBA 4 1/16 FLANGE BX-155 10000 X 1/2 NPT H 10000  P.T: 10000 H2S LONG: 2.77 TEMP: -29 - 121 C,VT / PT / MT,INTEGRAL,ROSCA
22,ACTIVO,PCT-BP-09,BRIDA DE PRUEBA,BRIDA DE PRUEBA 3 1/16 FLANGE BX-154 10000 X 1/2 NPT H 10000  P.T: 10000 H2S LONG: 2.30 TEMP: -29 - 121 C,LT,INTEGRAL,CAVIDAD
23,ACTIVO,PCT-BP-09,BRIDA DE PRUEBA,BRIDA DE PRUEBA 3 1/16 FLANGE BX-154 10000 X 1/2 NPT H 10000  P.T: 10000 H2S LONG: 2.30 TEMP: -29 - 121 C,VT / PT / MT,INTEGRAL,CARA
24,ACTIVO,PCT-BP-09,BRIDA DE PRUEBA,BRIDA DE PRUEBA 3 1/16 FLANGE BX-154 10000 X 1/2 NPT H 10000  P.T: 10000 H2S LONG: 2.30 TEMP: -29 - 121 C,VT / PT / MT,INTEGRAL,ROSCA
25,ACTIVO,PCT-BP-10,BRIDA DE PRUEBA,BRIDA DE PRUEBA 3 1/16 FLANGE BX-154 10000 X 1/2 NPT H 10000  P.T: 10000 H2S LONG: 2.30 TEMP: -29 - 121 C,LT,INTEGRAL,CAVIDAD
26,ACTIVO,PCT-BP-10,BRIDA DE PRUEBA,BRIDA DE PRUEBA 3 1/16 FLANGE BX-154 10000 X 1/2 NPT H 10000  P.T: 10000 H2S LONG: 2.30 TEMP: -29 - 121 C,VT / PT / MT,INTEGRAL,CARA
27,ACTIVO,PCT-BP-10,BRIDA DE PRUEBA,BRIDA DE PRUEBA 3 1/16 FLANGE BX-154 10000 X 1/2 NPT H 10000  P.T: 10000 H2S LONG: 2.30 TEMP: -29 - 121 C,VT / PT / MT,INTEGRAL,ROSCA
28,ACTIVO,PCT-CA-01,CARRETE ADAPTADOR,CARRETE ADAPTADOR 11 FLANGE R-54 / RX-54 5000 X 11 FLANGE BX-158 10000  P.T: 5000 H2S LONG: 18 TEMP: -29 - 121 C,LT,INTEGRAL,CAVIDAD
29,ACTIVO,PCT-CA-01,CARRETE ADAPTADOR,CARRETE ADAPTADOR 11 FLANGE R-54 / RX-54 5000 X 11 FLANGE BX-158 10000  P.T: 5000 H2S LONG: 18 TEMP: -29 - 121 C,VT / PT / MT,INTEGRAL,CARA / P. MOJ
30,ACTIVO,PCT-CA-01,CARRETE ADAPTADOR,CARRETE ADAPTADOR 11 FLANGE R-54 / RX-54 5000 X 11 FLANGE BX-158 10000  P.T: 5000 H2S LONG: 18 TEMP: -29 - 121 C,UTT,INTEGRAL,PARED
31,ACTIVO,PCT-CA-02,CARRETE ADAPTADOR,CARRETE ADAPTADOR 11 FLANGE R-54 / RX-54 5000 X 11 FLANGE BX-158 10000  P.T: 5000 H2S LONG: 16 TEMP: -29 - 121 C,LT,INTEGRAL,CAVIDAD
32,ACTIVO,PCT-CA-02,CARRETE ADAPTADOR,CARRETE ADAPTADOR 11 FLANGE R-54 / RX-54 5000 X 11 FLANGE BX-158 10000  P.T: 5000 H2S LONG: 16 TEMP: -29 - 121 C,VT / PT / MT,INTEGRAL,CARA / P. MOJ
33,ACTIVO,PCT-CA-02,CARRETE ADAPTADOR,CARRETE ADAPTADOR 11 FLANGE R-54 / RX-54 5000 X 11 FLANGE BX-158 10000  P.T: 5000 H2S LONG: 16 TEMP: -29 - 121 C,UTT,INTEGRAL,PARED
34,ACTIVO,PCT-CA-03,CARRETE ADAPTADOR,CARRETE ADAPTADOR 11 FLANGE BX-158 10000 X 13 5/8 FLANGE BX-160 5000  P.T: 5000 H2S LONG: 18 1/8 TEMP: -29 - 121 C,LT,INTEGRAL,CAVIDAD
35,ACTIVO,PCT-CA-03,CARRETE ADAPTADOR,CARRETE ADAPTADOR 11 FLANGE BX-158 10000 X 13 5/8 FLANGE BX-160 5000  P.T: 5000 H2S LONG: 18 1/8 TEMP: -29 - 121 C,VT / PT / MT,INTEGRAL,CARA / P. MOJ
36,ACTIVO,PCT-CA-03,CARRETE ADAPTADOR,CARRETE ADAPTADOR 11 FLANGE BX-158 10000 X 13 5/8 FLANGE BX-160 5000  P.T: 5000 H2S LONG: 18 1/8 TEMP: -29 - 121 C,UTT,INTEGRAL,PARED
37,ACTIVO,PCT-CA-04,CARRETE ADAPTADOR,CARRETE ADAPTADOR 11 FLANGE BX-158 10000 X 13 5/8 FLANGE BX-160 5000  P.T: 5000 H2S LONG: 19 1/4 TEMP: -29 - 121 C,LT,INTEGRAL,CAVIDAD
38,ACTIVO,PCT-CA-04,CARRETE ADAPTADOR,CARRETE ADAPTADOR 11 FLANGE BX-158 10000 X 13 5/8 FLANGE BX-160 5000  P.T: 5000 H2S LONG: 19 1/4 TEMP: -29 - 121 C,VT / PT / MT,INTEGRAL,CARA / P. MOJ
39,ACTIVO,PCT-CA-04,CARRETE ADAPTADOR,CARRETE ADAPTADOR 11 FLANGE BX-158 10000 X 13 5/8 FLANGE BX-160 5000  P.T: 5000 H2S LONG: 19 1/4 TEMP: -29 - 121 C,UTT,INTEGRAL,PARED
40,ACTIVO,PCT-CA-05,CARRETE ADAPTADOR,CARRETE ADAPTADOR 13 5/8 FLANGE BX-160 5000 X 13 5/8 FLANGE BX-159 10000  P.T: 5000 H2S LONG: 18 TEMP: -29 - 121 C,LT,INTEGRAL,CAVIDAD
41,ACTIVO,PCT-CA-05,CARRETE ADAPTADOR,CARRETE ADAPTADOR 13 5/8 FLANGE BX-160 5000 X 13 5/8 FLANGE BX-159 10000  P.T: 5000 H2S LONG: 18 TEMP: -29 - 121 C,VT / PT / MT,INTEGRAL,CARA / P. MOJ
42,ACTIVO,PCT-CA-05,CARRETE ADAPTADOR,CARRETE ADAPTADOR 13 5/8 FLANGE BX-160 5000 X 13 5/8 FLANGE BX-159 10000  P.T: 5000 H2S LONG: 18 TEMP: -29 - 121 C,UTT,INTEGRAL,PARED
43,ACTIVO,PCT-CA-06,CARRETE ADAPTADOR,CARRETE ADAPTADOR 13 5/8 FLANGE BX-160 5000 X 13 5/8 FLANGE BX-159 10000  P.T: 5000 H2S LONG: 18 3/4 TEMP: -29 - 121 C,LT,INTEGRAL,CAVIDAD
44,ACTIVO,PCT-CA-06,CARRETE ADAPTADOR,CARRETE ADAPTADOR 13 5/8 FLANGE BX-160 5000 X 13 5/8 FLANGE BX-159 10000  P.T: 5000 H2S LONG: 18 3/4 TEMP: -29 - 121 C,VT / PT / MT,INTEGRAL,CARA / P. MOJ
45,ACTIVO,PCT-CA-06,CARRETE ADAPTADOR,CARRETE ADAPTADOR 13 5/8 FLANGE BX-160 5000 X 13 5/8 FLANGE BX-159 10000  P.T: 5000 H2S LONG: 18 3/4 TEMP: -29 - 121 C,UTT,INTEGRAL,PARED
46,ACTIVO,PCT-CA-07,CARRETE ADAPTADOR,CARRETE ADAPTADOR 11 FLANGE BX-158 10000 X 13 5/8 FLANGE BX-160 5000  P.T: 5000 H2S LONG: 19.75 TEMP: -29 - 121 C,LT,INTEGRAL,CAVIDAD
47,ACTIVO,PCT-CA-07,CARRETE ADAPTADOR,CARRETE ADAPTADOR 11 FLANGE BX-158 10000 X 13 5/8 FLANGE BX-160 5000  P.T: 5000 H2S LONG: 19.75 TEMP: -29 - 121 C,VT / PT / MT,INTEGRAL,CARA / P. MOJ
48,ACTIVO,PCT-CA-07,CARRETE ADAPTADOR,CARRETE ADAPTADOR 11 FLANGE BX-158 10000 X 13 5/8 FLANGE BX-160 5000  P.T: 5000 H2S LONG: 19.75 TEMP: -29 - 121 C,UTT,INTEGRAL,PARED
49,ACTIVO,PCT-CA-08,CARRETE ADAPTADOR,CARRETE ADAPTADOR 13 5/8 FLANGE BX-160 5000 X 16 3/4 FLANGE BX-162 5000  P.T: 5000 H2S LONG: 2 1/2 TEMP: -29 - 121 C,LT,INTEGRAL,CAVIDAD
50,ACTIVO,PCT-CA-08,CARRETE ADAPTADOR,CARRETE ADAPTADOR 13 5/8 FLANGE BX-160 5000 X 16 3/4 FLANGE BX-162 5000  P.T: 5000 H2S LONG: 2 1/2 TEMP: -29 - 121 C,VT / PT / MT,INTEGRAL,CARA / P. MOJ
51,ACTIVO,PCT-CA-08,CARRETE ADAPTADOR,CARRETE ADAPTADOR 13 5/8 FLANGE BX-160 5000 X 16 3/4 FLANGE BX-162 5000  P.T: 5000 H2S LONG: 2 1/2 TEMP: -29 - 121 C,UTT,INTEGRAL,PARED
52,ACTIVO,PCT-CA-09,CARRETE ADAPTADOR,CARRETE ADAPTADOR 11 FLANGE BX-158 10000 X 11 FLANGE BX-158 15000  P.T: 10000 H2S LONG: 20 TEMP: -29 - 121 C,LT,INTEGRAL,CAVIDAD
53,ACTIVO,PCT-CA-09,CARRETE ADAPTADOR,CARRETE ADAPTADOR 11 FLANGE BX-158 10000 X 11 FLANGE BX-158 15000  P.T: 10000 H2S LONG: 20 TEMP: -29 - 121 C,VT / PT / MT,INTEGRAL,CARA / P. MOJ
54,ACTIVO,PCT-CA-09,CARRETE ADAPTADOR,CARRETE ADAPTADOR 11 FLANGE BX-158 10000 X 11 FLANGE BX-158 15000  P.T: 10000 H2S LONG: 20 TEMP: -29 - 121 C,UTT,INTEGRAL,PARED
55,ACTIVO,PCT-CA-10,CARRETE ADAPTADOR,CARRETE ADAPTADOR 13 5/8 FLANGE BX-160 5000 X 13 5/8 FLANGE BX-159 10000  P.T: 5000 H2S LONG: 19.75 TEMP: -29 - 121 C,LT,INTEGRAL,CAVIDAD
56,ACTIVO,PCT-CA-10,CARRETE ADAPTADOR,CARRETE ADAPTADOR 13 5/8 FLANGE BX-160 5000 X 13 5/8 FLANGE BX-159 10000  P.T: 5000 H2S LONG: 19.75 TEMP: -29 - 121 C,VT / PT / MT,INTEGRAL,CARA / P. MOJ
57,ACTIVO,PCT-CA-10,CARRETE ADAPTADOR,CARRETE ADAPTADOR 13 5/8 FLANGE BX-160 5000 X 13 5/8 FLANGE BX-159 10000  P.T: 5000 H2S LONG: 19.75 TEMP: -29 - 121 C,UTT,INTEGRAL,PARED
58,ACTIVO,PCT-CA-11,CARRETE ADAPTADOR,CARRETE ADAPTADOR 16 3/4 FLANGE BX-162 5000 X 18 3/4 FLANGE BX-164 10000  P.T: 5000 H2S LONG: 23 5/8 TEMP: -29 - 121 C,LT,INTEGRAL,CAVIDAD
59,ACTIVO,PCT-CA-11,CARRETE ADAPTADOR,CARRETE ADAPTADOR 16 3/4 FLANGE BX-162 5000 X 18 3/4 FLANGE BX-164 10000  P.T: 5000 H2S LONG: 23 5/8 TEMP: -29 - 121 C,VT / PT / MT,INTEGRAL,CARA / P. MOJ
60,ACTIVO,PCT-CA-11,CARRETE ADAPTADOR,CARRETE ADAPTADOR 16 3/4 FLANGE BX-162 5000 X 18 3/4 FLANGE BX-164 10000  P.T: 5000 H2S LONG: 23 5/8 TEMP: -29 - 121 C,UTT,INTEGRAL,PARED
61,ACTIVO,PCT-CA-12,CARRETE ADAPTADOR,CARRETE ADAPTADOR 13 5/8 FLANGE BX-160 5000 X 13 5/8 FLANGE BX-159 10000  P.T: 5000 H2S LONG: 23 5/8 TEMP: -29 - 121 C,LT,INTEGRAL,CAVIDAD
62,ACTIVO,PCT-CA-12,CARRETE ADAPTADOR,CARRETE ADAPTADOR 13 5/8 FLANGE BX-160 5000 X 13 5/8 FLANGE BX-159 10000  P.T: 5000 H2S LONG: 23 5/8 TEMP: -29 - 121 C,VT / PT / MT,INTEGRAL,CARA / P. MOJ
63,ACTIVO,PCT-CA-12,CARRETE ADAPTADOR,CARRETE ADAPTADOR 13 5/8 FLANGE BX-160 5000 X 13 5/8 FLANGE BX-159 10000  P.T: 5000 H2S LONG: 23 5/8 TEMP: -29 - 121 C,UTT,INTEGRAL,PARED
64,ACTIVO,PCT-CA-13,CARRETE ADAPTADOR,CARRETE ADAPTADOR 13 5/8 FLANGE BX-159 10000 X 18 3/4 FLANGE BX-164 10000  P.T: 10000 H2S LONG: 39.38 TEMP: -29 - 121 C,LT,INTEGRAL,CAVIDAD
65,ACTIVO,PCT-CA-13,CARRETE ADAPTADOR,CARRETE ADAPTADOR 13 5/8 FLANGE BX-159 10000 X 18 3/4 FLANGE BX-164 10000  P.T: 10000 H2S LONG: 39.38 TEMP: -29 - 121 C,VT / PT / MT,INTEGRAL,CARA / P. MOJ
66,ACTIVO,PCT-CA-13,CARRETE ADAPTADOR,CARRETE ADAPTADOR 13 5/8 FLANGE BX-159 10000 X 18 3/4 FLANGE BX-164 10000  P.T: 10000 H2S LONG: 39.38 TEMP: -29 - 121 C,UTT,INTEGRAL,PARED
67,ACTIVO,PCT-CA-14,CARRETE ADAPTADOR,CARRETE ADAPTADOR 18 3/4 FLANGE BX-163 5000 X 18 3/4 FLANGE BX-164 10000  P.T: 5000 H2S LONG: 23.82 TEMP: -29 - 121 C,LT,INTEGRAL,CAVIDAD
68,ACTIVO,PCT-CA-14,CARRETE ADAPTADOR,CARRETE ADAPTADOR 18 3/4 FLANGE BX-163 5000 X 18 3/4 FLANGE BX-164 10000  P.T: 5000 H2S LONG: 23.82 TEMP: -29 - 121 C,VT / PT / MT,INTEGRAL,CARA / P. MOJ
69,ACTIVO,PCT-CA-14,CARRETE ADAPTADOR,CARRETE ADAPTADOR 18 3/4 FLANGE BX-163 5000 X 18 3/4 FLANGE BX-164 10000  P.T: 5000 H2S LONG: 23.82 TEMP: -29 - 121 C,UTT,INTEGRAL,PARED
70,ACTIVO,PCT-CA-15,CARRETE ADAPTADOR,CARRETE ADAPTADOR 13 5/8 FLANGE BX-159 10000 X 21 1/4 FLANGE BX-165 5000  P.T: 5000 H2S LONG: 27.56 TEMP: -29 - 121 C,LT,INTEGRAL,CAVIDAD
