,,,,,,,,,,
N°,SERIE,SERIE-,N° DE REPORTE,N° DE REPORTE2,REPORTES,,,,,
47,PCT,24-31502-3-009,53,GIM-REP-PCT-053,GIM-REP-PCT-053-2025,,,GIM-REP-PCT-053-2025,,
48,PCT,24-31502-3-001,54,GIM-REP-PCT-054,GIM-REP-PCT-054-2025,,,GIM-REP-PCT-054-2025,,
49,PCT,24-31502-3-006,55,GIM-REP-PCT-055,GIM-REP-PCT-055-2025,,,GIM-REP-PCT-055-2025,,
50,PCT,24-31502-3-007,56,GIM-REP-PCT-056,GIM-REP-PCT-056-2025,,,GIM-REP-PCT-056-2025,,
51,PCT,24-31502-3-008,57,GIM-REP-PCT-057,GIM-REP-PCT-057-2025,,,GIM-REP-PCT-057-2025,,
52,PCT,24-31502-3-005,58,GIM-REP-PCT-058,GIM-REP-PCT-058-2025,,,GIM-REP-PCT-058-2025,,
53,PCT,24-31502-3-004,59,GIM-REP-PCT-059,GIM-REP-PCT-059-2025,,,GIM-REP-PCT-059-2025,,
54,PCT,24-31502-3-010,60,GIM-REP-PCT-060,GIM-REP-PCT-060-2025,,,GIM-REP-PCT-060-2025,,
55,PCT,24-31502-3-003,61,GIM-REP-PCT-061,GIM-REP-PCT-061-2025,,,GIM-REP-PCT-061-2025,,
56,PCT,23-21502-5-009,62,GIM-REP-PCT-062,GIM-REP-PCT-062-2025,,,GIM-REP-PCT-062-2025,,
57,PCT,24-21502-5-004,63,GIM-REP-PCT-063,GIM-REP-PCT-063-2025,,,GIM-REP-PCT-063-2025,,
58,EBS,4-206DJ-SS-3-5,64,GIM-REP-PCT-064,GIM-REP-PCT-064-2025,,,GIM-REP-PCT-064-2025,,
59,EBS,4-206DJ-SS-3-8,65,GIM-REP-PCT-065,GIM-REP-PCT-065-2025,,,GIM-REP-PCT-065-2025,,
60,EBS,4-206DJ-SS-3-1,66,GIM-REP-PCT-066,GIM-REP-PCT-066-2025,,,GIM-REP-PCT-066-2025,,
61,EBS,4-206DJ-SS-3-2,67,GIM-REP-PCT-067,GIM-REP-PCT-067-2025,,,GIM-REP-PCT-067-2025,,
62,EBS,4-206DJ-SS-3-3,68,GIM-REP-PCT-068,GIM-REP-PCT-068-2025,,,GIM-REP-PCT-068-2025,,
63,EBS,4-206DJ-SS-3-6,69,GIM-REP-PCT-069,GIM-REP-PCT-069-2025,,,GIM-REP-PCT-069-2025,,
64,EBS,4-206DJ-SS-3-4,70,GIM-REP-PCT-070,GIM-REP-PCT-070-2025,,,GIM-REP-PCT-070-2025,,
65,PCT,23-21502-10-005,71,GIM-REP-PCT-071,GIM-REP-PCT-071-2025,,,GIM-REP-PCT-071-2025,,
66,PCT,24-21502-10-006,72,GIM-REP-PCT-072,GIM-REP-PCT-072-2025,,,GIM-REP-PCT-072-2025,,
67,PCT,23-21502-10-003,73,GIM-REP-PCT-073,GIM-REP-PCT-073-2025,,,GIM-REP-PCT-073-2025,,
68,PCT,23-21502-10-004,74,GIM-REP-PCT-074,GIM-REP-PCT-074-2025,,,GIM-REP-PCT-074-2025,,
69,PCT,24-21502-10-009,75,GIM-REP-PCT-075,GIM-REP-PCT-075-2025,,,GIM-REP-PCT-075-2025,,
70,PCT,24-21502-10-003,76,GIM-REP-PCT-076,GIM-REP-PCT-076-2025,,,GIM-REP-PCT-076-2025,,
71,PCT,23-21502-10-001,77,GIM-REP-PCT-077,GIM-REP-PCT-077-2025,,,GIM-REP-PCT-077-2025,,
72,EBS,2-1502DJ-SS-10-1,78,GIM-REP-PCT-078,GIM-REP-PCT-078-2025,,,GIM-REP-PCT-078-2025,,
73,EBS,2-1502DJ-SS-10-3,79,GIM-REP-PCT-079,GIM-REP-PCT-079-2025,,,GIM-REP-PCT-079-2025,,
74,PCT,24-21502-10-005,80,GIM-REP-PCT-080,GIM-REP-PCT-080-2025,,,GIM-REP-PCT-080-2025,,
75,PCT,23-21502-10-008,81,GIM-REP-PCT-081,GIM-REP-PCT-081-2025,,,GIM-REP-PCT-081-2025,,
76,PCT,23-21502-10-002,82,GIM-REP-PCT-082,GIM-REP-PCT-082-2025,,,GIM-REP-PCT-082-2025,,
77,PCT,23-4602-3-003,83,GIM-REP-PCT-083,GIM-REP-PCT-083-2025,,,GIM-REP-PCT-083-2025,,
78,PCT,23-4602-2-001,84,GIM-REP-PCT-084,GIM-REP-PCT-084-2025,,,GIM-REP-PCT-084-2025,,
79,PCT,23-4602-2-002,85,GIM-REP-PCT-085,GIM-REP-PCT-085-2025,,,GIM-REP-PCT-085-2025,,
80,PCT,23-4602-2-003,86,GIM-REP-PCT-086,GIM-REP-PCT-086-2025,,,GIM-REP-PCT-086-2025,,
81,PCT,23-4602-2-005,87,GIM-REP-PCT-087,GIM-REP-PCT-087-2025,,,GIM-REP-PCT-087-2025,,
82,PCT,23-4602-2-004,88,GIM-REP-PCT-088,GIM-REP-PCT-088-2025,,,GIM-REP-PCT-088-2025,,
83,PCT,23-4602-2-006,89,GIM-REP-PCT-089,GIM-REP-PCT-089-2025,,,GIM-REP-PCT-089-2025,,
84,PCT,23-4602-2-007,90,GIM-REP-PCT-090,GIM-REP-PCT-090-2025,,,GIM-REP-PCT-090-2025,,
85,PCT,23-4602-2-008,91,GIM-REP-PCT-091,GIM-REP-PCT-091-2025,,,GIM-REP-PCT-091-2025,,
86,PCT,23-4602-2-009,92,GIM-REP-PCT-092,GIM-REP-PCT-092-2025,,,GIM-REP-PCT-092-2025,,
87,PCT,23-4602-2-010,93,GIM-REP-PCT-093,GIM-REP-PCT-093-2025,,,GIM-REP-PCT-093-2025,,
88,PCT,24-21502-10-002,94,GIM-REP-PCT-094,GIM-REP-PCT-094-2025,,,GIM-REP-PCT-094-2025,,
89,PCT,23-21502-10-007,95,GIM-REP-PCT-095,GIM-REP-PCT-095-2025,,,GIM-REP-PCT-095-2025,,
90,PCT,23-21502-10-009,96,GIM-REP-PCT-096,GIM-REP-PCT-096-2025,,,GIM-REP-PCT-096-2025,,
91,PCT,24-21502-10-010,97,GIM-REP-PCT-097,GIM-REP-PCT-097-2025,,,GIM-REP-PCT-097-2025,,
92,PCT,24-21502-10-007,98,GIM-REP-PCT-098,GIM-REP-PCT-098-2025,,,GIM-REP-PCT-098-2025,,
93,EBS,2-1502DJ-SS-10-7,99,GIM-REP-PCT-099,GIM-REP-PCT-099-2025,,,GIM-REP-PCT-099-2025,,
94,PCT,24-21502-10-004,100,GIM-REP-PCT-100,GIM-REP-PCT-100-2025,,,GIM-REP-PCT-100-2025,,
95,EBS,2-1502DJ-SS-10-10,101,GIM-REP-PCT-101,GIM-REP-PCT-101-2025,,,GIM-REP-PCT-101-2025,,
96,PCT,24-21502-10-001,102,GIM-REP-PCT-102,GIM-REP-PCT-102-2025,,,GIM-REP-PCT-102-2025,,
97,PCT,24-21502-10-008,103,GIM-REP-PCT-103,GIM-REP-PCT-103-2025,,,GIM-REP-PCT-103-2025,,
98,PCT,24-21502-5-003,104,GIM-REP-PCT-104,GIM-REP-PCT-104-2025,,,GIM-REP-PCT-104-2025,,
99,PCT,24-21502-5-007,105,GIM-REP-PCT-105,GIM-REP-PCT-105-2025,,,GIM-REP-PCT-105-2025,,
100,PCT,24-21502-5-001,106,GIM-REP-PCT-106,GIM-REP-PCT-106-2025,,,GIM-REP-PCT-106-2025,,
101,PCT,24-21502-5-005,107,GIM-REP-PCT-107,GIM-REP-PCT-107-2025,,,GIM-REP-PCT-107-2025,,
102,PCT,24-21502-5-006,108,GIM-REP-PCT-108,GIM-REP-PCT-108-2025,,,GIM-REP-PCT-108-2025,,
103,PCT,24-21502-5-008,109,GIM-REP-PCT-109,GIM-REP-PCT-109-2025,,,GIM-REP-PCT-109-2025,,
104,PCT,24-21502-5-010,110,GIM-REP-PCT-110,GIM-REP-PCT-110-2025,,,GIM-REP-PCT-110-2025,,
105,PCT,23-21502-5-004,111,GIM-REP-PCT-111,GIM-REP-PCT-111-2025,,,GIM-REP-PCT-111-2025,,
106,PCT,23-21502-5-008,112,GIM-REP-PCT-112,GIM-REP-PCT-112-2025,,,GIM-REP-PCT-112-2025,,
107,PCT,23-21502-5-007,113,GIM-REP-PCT-113,GIM-REP-PCT-113-2025,,,GIM-REP-PCT-113-2025,,
108,PCT,23-21502-5-002,114,GIM-REP-PCT-114,GIM-REP-PCT-114-2025,,,GIM-REP-PCT-114-2025,,
109,PCT,23-6206-5-001,115,GIM-REP-PCT-115,GIM-REP-PCT-115-2025,,,GIM-REP-PCT-115-2025,,
110,PCT,23-6206-5-005,116,GIM-REP-PCT-116,GIM-REP-PCT-116-2025,,,GIM-REP-PCT-116-2025,,
111,PCT,23-6206-5-009,117,GIM-REP-PCT-117,GIM-REP-PCT-117-2025,,,GIM-REP-PCT-117-2025,,
112,PCT,23-6206-5-010,118,GIM-REP-PCT-118,GIM-REP-PCT-118-2025,,,GIM-REP-PCT-118-2025,,
113,PCT,23-6206-5-004,119,GIM-REP-PCT-119,GIM-REP-PCT-119-2025,,,GIM-REP-PCT-119-2025,,
114,PCT,23-6206-5-007,120,GIM-REP-PCT-120,GIM-REP-PCT-120-2025,,,GIM-REP-PCT-120-2025,,
115,PCT,23-6206-5-008,121,GIM-REP-PCT-121,GIM-REP-PCT-121-2025,,,GIM-REP-PCT-121-2025,,
116,PCT,23-6206-5-006,122,GIM-REP-PCT-122,GIM-REP-PCT-122-2025,,,GIM-REP-PCT-122-2025,,
117,PCT,23-6206-5-002,123,GIM-REP-PCT-123,GIM-REP-PCT-123-2025,,,GIM-REP-PCT-123-2025,,
118,PCT,23-6206-3-008,124,GIM-REP-PCT-124,GIM-REP-PCT-124-2025,,,GIM-REP-PCT-124-2025,,
119,PCT,23-6206-3-007,125,GIM-REP-PCT-125,GIM-REP-PCT-125-2025,,,GIM-REP-PCT-125-2025,,
120,PCT,23-6206-3-004,126,GIM-REP-PCT-126,GIM-REP-PCT-126-2025,,,GIM-REP-PCT-126-2025,,
121,PCT,23-6206-2-009,127,GIM-REP-PCT-127,GIM-REP-PCT-127-2025,,,GIM-REP-PCT-127-2025,,
122,PCT,23-6206-2-008,128,GIM-REP-PCT-128,GIM-REP-PCT-128-2025,,,GIM-REP-PCT-128-2025,,
123,PCT,23-6206-2-007,129,GIM-REP-PCT-129,GIM-REP-PCT-129-2025,,,GIM-REP-PCT-129-2025,,
124,PCT,23-6206-2-003,130,GIM-REP-PCT-130,GIM-REP-PCT-130-2025,,,GIM-REP-PCT-130-2025,,
125,PCT,23-6206-2-010,131,GIM-REP-PCT-131,GIM-REP-PCT-131-2025,,,GIM-REP-PCT-131-2025,,
126,PCT,23-6206-2-005,132,GIM-REP-PCT-132,GIM-REP-PCT-132-2025,,,GIM-REP-PCT-132-2025,,
127,PCT,23-6206-2-004,133,GIM-REP-PCT-133,GIM-REP-PCT-133-2025,,,GIM-REP-PCT-133-2025,,
128,PCT,23-4602-10-004,134,GIM-REP-PCT-134,GIM-REP-PCT-134-2025,,,GIM-REP-PCT-134-2025,,
129,PCT,23-4602-10-001,135,GIM-REP-PCT-135,GIM-REP-PCT-135-2025,,,GIM-REP-PCT-135-2025,,
130,PCT,23-4602-10-007,136,GIM-REP-PCT-136,GIM-REP-PCT-136-2025,,,GIM-REP-PCT-136-2025,,
